Smith-Rowe,Emile,Arsenal
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,18
NON_PEN_XG,0.15,28
TOTAL_SHOTS,0.93,4
ASSISTS,0.30,87
XA,0.17,51
NON_PEN_XG+XA,0.32,33
SHOT_CREATIONS,2.72,31
PASSES_ATTEMPTED,41.88,68
PASS_COMPLETION_PERCENTAGE,87.4,99
PROGRESSIVE_PASSES,2.51,30
PROGRESSIVE CARRIES,5.31,37
DRIBBLES_COMPLETED,0.81,9
TOUCHES_IN_AREA,3.48,42
PROGRESSIVE_PASSES_RECIEVED,6.03,36
PRESSURES,14.99,45
TACKLES,0.89,20
INTERCEPTIONS,1.02,80
BLOCKS,0.98,25
CLEARANCES,0.76,73
AERIAL_DUELS_WON,0.38,20
