Kolašinac,Sead,Arsenal
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,58
NON_PEN_XG,0.04,54
TOTAL_SHOTS,0.38,28
ASSISTS,0.05,31
XA,0.09,54
NON_PEN_XG+XA,0.12,50
SHOT_CREATIONS,1.10,17
PASSES_ATTEMPTED,52.24,44
PASS_COMPLETION_PERCENTAGE,82.6,82
PROGRESSIVE_PASSES,3.55,43
PROGRESSIVE CARRIES,4.70,50
DRIBBLES_COMPLETED,0.96,65
TOUCHES_IN_AREA,2.11,79
PROGRESSIVE_PASSES_RECIEVED,2.78,66
PRESSURES,10.36,20
TACKLES,1.25,9
INTERCEPTIONS,1.87,91
BLOCKS,1.15,2
CLEARANCES,1.10,3
AERIAL_DUELS_WON,0.86,28
