Groﬂ,Pascal,Brighton
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.09,73
TOTAL_SHOTS,1.01,60
ASSISTS,0.29,98
XA,0.20,96
NON_PEN_XG+XA,0.29,91
SHOT_CREATIONS,3.99,97
PASSES_ATTEMPTED,60.47,74
PASS_COMPLETION_PERCENTAGE,75.5,7
PROGRESSIVE_PASSES,4.67,66
PROGRESSIVE CARRIES,5.04,71
DRIBBLES_COMPLETED,0.40,11
TOUCHES_IN_AREA,2.68,91
PROGRESSIVE_PASSES_RECIEVED,4.13,89
PRESSURES,15.58,24
TACKLES,1.59,16
INTERCEPTIONS,0.91,20
BLOCKS,1.20,16
CLEARANCES,0.87,20
AERIAL_DUELS_WON,0.80,31
