Rodriguez,Jay,Burnley
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,1
NON_PEN_XG,0.19,4
TOTAL_SHOTS,2.13,34
ASSISTS,0.14,54
XA,0.12,51
NON_PEN_XG+XA,0.31,8
SHOT_CREATIONS,1.64,24
PASSES_ATTEMPTED,20.13,27
PASS_COMPLETION_PERCENTAGE,73.5,54
PROGRESSIVE_PASSES,1.57,58
PROGRESSIVE CARRIES,2.63,47
DRIBBLES_COMPLETED,1.07,53
TOUCHES_IN_AREA,3.91,12
PROGRESSIVE_PASSES_RECIEVED,5.83,10
PRESSURES,21.91,98
TACKLES,1.99,99
INTERCEPTIONS,0.28,39
BLOCKS,1.92,99
CLEARANCES,0.43,26
AERIAL_DUELS_WON,3.27,75
