"b'Vydra, Matej'",Burnley
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,13
NON_PEN_XG,0.40,69
TOTAL_SHOTS,2.30,42
ASSISTS,0.13,53
XA,0.12,51
NON_PEN_XG+XA,0.51,61
SHOT_CREATIONS,2.43,60
PASSES_ATTEMPTED,17.46,15
PASS_COMPLETION_PERCENTAGE,72.6,49
PROGRESSIVE_PASSES,0.85,16
PROGRESSIVE CARRIES,2.30,39
DRIBBLES_COMPLETED,1.51,75
TOUCHES_IN_AREA,5.65,67
PROGRESSIVE_PASSES_RECIEVED,8.93,72
PRESSURES,18.45,88
TACKLES,0.59,43
INTERCEPTIONS,0.33,54
BLOCKS,0.98,76
CLEARANCES,0.46,28
AERIAL_DUELS_WON,2.04,58
