Chilwell,Ben,Chelsea
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,89
NON_PEN_XG,0.11,94
TOTAL_SHOTS,0.94,84
ASSISTS,0.15,77
XA,0.12,74
NON_PEN_XG+XA,0.22,86
SHOT_CREATIONS,2.06,71
PASSES_ATTEMPTED,68.38,88
PASS_COMPLETION_PERCENTAGE,77.8,47
PROGRESSIVE_PASSES,4.56,75
PROGRESSIVE CARRIES,6.15,76
DRIBBLES_COMPLETED,0.71,45
TOUCHES_IN_AREA,2.97,91
PROGRESSIVE_PASSES_RECIEVED,3.50,87
PRESSURES,13.03,56
TACKLES,1.91,45
INTERCEPTIONS,1.27,54
BLOCKS,2.68,91
CLEARANCES,2.65,58
AERIAL_DUELS_WON,1.62,77
