Abraham,Tammy,Chelsea
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.53,80
NON_PEN_XG,0.53,87
TOTAL_SHOTS,2.60,60
ASSISTS,0.13,53
XA,0.06,16
NON_PEN_XG+XA,0.59,75
SHOT_CREATIONS,1.53,19
PASSES_ATTEMPTED,18.93,22
PASS_COMPLETION_PERCENTAGE,70.8,37
PROGRESSIVE_PASSES,0.87,16
PROGRESSIVE CARRIES,1.07,4
DRIBBLES_COMPLETED,0.47,12
TOUCHES_IN_AREA,5.47,58
PROGRESSIVE_PASSES_RECIEVED,7.67,50
PRESSURES,14.27,51
TACKLES,0.53,35
INTERCEPTIONS,0.20,20
BLOCKS,1.00,77
CLEARANCES,1.27,93
AERIAL_DUELS_WON,3.07,73
