Cahill,Gary,Crystal Palace
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,60
NON_PEN_XG,0.04,40
TOTAL_SHOTS,0.55,65
ASSISTS,0.05,85
XA,0.04,91
NON_PEN_XG+XA,0.07,68
SHOT_CREATIONS,0.60,65
PASSES_ATTEMPTED,34.85,6
PASS_COMPLETION_PERCENTAGE,84.6,35
PROGRESSIVE_PASSES,1.70,14
PROGRESSIVE CARRIES,1.20,13
DRIBBLES_COMPLETED,0.05,6
TOUCHES_IN_AREA,1.30,93
PROGRESSIVE_PASSES_RECIEVED,0.05,11
PRESSURES,5.05,2
TACKLES,0.65,2
INTERCEPTIONS,0.95,18
BLOCKS,2.25,94
CLEARANCES,6.35,85
AERIAL_DUELS_WON,4.00,93
