Coleman,Séamus,Everton
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.07,78
TOTAL_SHOTS,0.67,61
ASSISTS,0.17,84
XA,0.11,67
NON_PEN_XG+XA,0.17,72
SHOT_CREATIONS,1.84,58
PASSES_ATTEMPTED,42.80,12
PASS_COMPLETION_PERCENTAGE,81.5,73
PROGRESSIVE_PASSES,2.40,8
PROGRESSIVE CARRIES,3.91,34
DRIBBLES_COMPLETED,1.12,73
TOUCHES_IN_AREA,1.67,62
PROGRESSIVE_PASSES_RECIEVED,2.51,58
PRESSURES,13.50,62
TACKLES,2.18,63
INTERCEPTIONS,1.23,49
BLOCKS,2.18,69
CLEARANCES,2.12,34
AERIAL_DUELS_WON,0.73,21
