Harrison,Jack,Leeds United
AM,LAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,66
NON_PEN_XG,0.21,54
TOTAL_SHOTS,1.49,23
ASSISTS,0.25,76
XA,0.22,76
NON_PEN_XG+XA,0.43,66
SHOT_CREATIONS,3.29,52
PASSES_ATTEMPTED,36.73,43
PASS_COMPLETION_PERCENTAGE,67.8,14
PROGRESSIVE_PASSES,3.51,66
PROGRESSIVE CARRIES,6.39,59
DRIBBLES_COMPLETED,1.45,39
TOUCHES_IN_AREA,3.76,49
PROGRESSIVE_PASSES_RECIEVED,5.97,35
PRESSURES,19.95,84
TACKLES,2.12,94
INTERCEPTIONS,0.79,56
BLOCKS,1.23,54
CLEARANCES,0.82,77
AERIAL_DUELS_WON,0.95,68
