Maddison,James,Leicester City
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.37,86
NON_PEN_XG,0.23,63
TOTAL_SHOTS,3.24,94
ASSISTS,0.29,86
XA,0.27,86
NON_PEN_XG+XA,0.50,78
SHOT_CREATIONS,4.79,94
PASSES_ATTEMPTED,48.15,84
PASS_COMPLETION_PERCENTAGE,75.9,50
PROGRESSIVE_PASSES,4.31,82
PROGRESSIVE CARRIES,6.19,56
DRIBBLES_COMPLETED,1.44,37
TOUCHES_IN_AREA,3.21,36
PROGRESSIVE_PASSES_RECIEVED,6.26,44
PRESSURES,14.81,43
TACKLES,1.51,67
INTERCEPTIONS,0.48,17
BLOCKS,0.55,3
CLEARANCES,0.22,14
AERIAL_DUELS_WON,0.15,2
