Thomas,Luke,Leicester City
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,90
NON_PEN_XG,0.06,72
TOTAL_SHOTS,0.66,60
ASSISTS,0.06,40
XA,0.02,3
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,1.13,19
PASSES_ATTEMPTED,47.53,22
PASS_COMPLETION_PERCENTAGE,74.8,27
PROGRESSIVE_PASSES,2.74,15
PROGRESSIVE CARRIES,3.46,22
DRIBBLES_COMPLETED,0.72,47
TOUCHES_IN_AREA,1.55,55
PROGRESSIVE_PASSES_RECIEVED,2.03,43
PRESSURES,15.98,88
TACKLES,1.79,38
INTERCEPTIONS,1.25,51
BLOCKS,2.62,91
CLEARANCES,2.33,44
AERIAL_DUELS_WON,1.43,67
