Fofana,Wesley,Leicester City
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.06,71
TOTAL_SHOTS,0.53,62
ASSISTS,0.00,31
XA,0.01,49
NON_PEN_XG+XA,0.07,64
SHOT_CREATIONS,0.77,82
PASSES_ATTEMPTED,63.91,77
PASS_COMPLETION_PERCENTAGE,87.0,55
PROGRESSIVE_PASSES,3.16,64
PROGRESSIVE CARRIES,5.85,94
DRIBBLES_COMPLETED,0.53,89
TOUCHES_IN_AREA,0.86,60
PROGRESSIVE_PASSES_RECIEVED,0.33,77
PRESSURES,9.54,60
TACKLES,2.36,90
INTERCEPTIONS,1.77,82
BLOCKS,1.80,65
CLEARANCES,4.64,37
AERIAL_DUELS_WON,3.75,89
