Jones,Curtis,Liverpool
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,78
NON_PEN_XG,0.11,83
TOTAL_SHOTS,1.42,81
ASSISTS,0.23,94
XA,0.14,86
NON_PEN_XG+XA,0.26,87
SHOT_CREATIONS,2.61,81
PASSES_ATTEMPTED,69.66,88
PASS_COMPLETION_PERCENTAGE,91.4,95
PROGRESSIVE_PASSES,5.00,72
PROGRESSIVE CARRIES,8.75,96
DRIBBLES_COMPLETED,1.31,79
TOUCHES_IN_AREA,2.39,89
PROGRESSIVE_PASSES_RECIEVED,5.06,94
PRESSURES,18.52,53
TACKLES,1.59,15
INTERCEPTIONS,1.14,37
BLOCKS,1.70,62
CLEARANCES,0.97,26
AERIAL_DUELS_WON,1.02,43
