Keïta,Naby,Liverpool
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.08,67
TOTAL_SHOTS,1.35,77
ASSISTS,0.00,12
XA,0.16,91
NON_PEN_XG+XA,0.23,84
SHOT_CREATIONS,2.84,86
PASSES_ATTEMPTED,59.46,70
PASS_COMPLETION_PERCENTAGE,87.0,73
PROGRESSIVE_PASSES,5.00,72
PROGRESSIVE CARRIES,7.57,93
DRIBBLES_COMPLETED,1.89,94
TOUCHES_IN_AREA,2.57,91
PROGRESSIVE_PASSES_RECIEVED,3.92,88
PRESSURES,24.32,95
TACKLES,1.35,9
INTERCEPTIONS,2.03,92
BLOCKS,1.76,67
CLEARANCES,0.95,24
AERIAL_DUELS_WON,0.68,24
