Kabak,Ozan,Liverpool
CB,RCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,57
TOTAL_SHOTS,0.53,62
ASSISTS,0.00,31
XA,0.01,47
NON_PEN_XG+XA,0.06,54
SHOT_CREATIONS,0.46,40
PASSES_ATTEMPTED,54.27,51
PASS_COMPLETION_PERCENTAGE,89.3,76
PROGRESSIVE_PASSES,2.55,48
PROGRESSIVE CARRIES,2.63,50
DRIBBLES_COMPLETED,0.91,99
TOUCHES_IN_AREA,0.84,58
PROGRESSIVE_PASSES_RECIEVED,0.08,18
PRESSURES,11.12,79
TACKLES,1.79,68
INTERCEPTIONS,1.26,44
BLOCKS,1.71,56
CLEARANCES,5.18,55
AERIAL_DUELS_WON,3.54,86
