Laporte,Aymeric,Manchester City
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,55
TOTAL_SHOTS,0.35,28
ASSISTS,0.00,31
XA,0.04,91
NON_PEN_XG+XA,0.08,78
SHOT_CREATIONS,0.50,48
PASSES_ATTEMPTED,86.05,99
PASS_COMPLETION_PERCENTAGE,91.9,91
PROGRESSIVE_PASSES,4.55,91
PROGRESSIVE CARRIES,9.84,99
DRIBBLES_COMPLETED,0.25,59
TOUCHES_IN_AREA,0.55,25
PROGRESSIVE_PASSES_RECIEVED,0.10,25
PRESSURES,5.30,4
TACKLES,0.80,5
INTERCEPTIONS,0.55,1
BLOCKS,1.05,2
CLEARANCES,3.25,5
AERIAL_DUELS_WON,2.80,63
