Fernandes,Bruno,Manchester Utd
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,66
NON_PEN_XG,0.26,73
TOTAL_SHOTS,3.27,95
ASSISTS,0.34,92
XA,0.35,97
NON_PEN_XG+XA,0.61,92
SHOT_CREATIONS,4.79,95
PASSES_ATTEMPTED,64.86,99
PASS_COMPLETION_PERCENTAGE,73.9,37
PROGRESSIVE_PASSES,6.67,97
PROGRESSIVE CARRIES,6.45,61
DRIBBLES_COMPLETED,0.76,8
TOUCHES_IN_AREA,4.01,56
PROGRESSIVE_PASSES_RECIEVED,8.32,83
PRESSURES,21.27,91
TACKLES,1.58,73
INTERCEPTIONS,0.64,36
BLOCKS,1.14,43
CLEARANCES,0.84,80
AERIAL_DUELS_WON,0.48,33
