Lewis,Jamal,Newcastle Utd
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.01,11
TOTAL_SHOTS,0.15,5
ASSISTS,0.05,31
XA,0.08,45
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,1.42,36
PASSES_ATTEMPTED,40.81,9
PASS_COMPLETION_PERCENTAGE,76.2,36
PROGRESSIVE_PASSES,1.52,1
PROGRESSIVE CARRIES,2.11,3
DRIBBLES_COMPLETED,0.69,43
TOUCHES_IN_AREA,0.44,6
PROGRESSIVE_PASSES_RECIEVED,1.08,12
PRESSURES,16.46,89
TACKLES,2.45,74
INTERCEPTIONS,0.98,22
BLOCKS,1.71,30
CLEARANCES,1.71,18
AERIAL_DUELS_WON,0.69,18
