Stevens,Enda,Sheffield Utd
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.04,52
TOTAL_SHOTS,0.53,49
ASSISTS,0.03,19
XA,0.05,22
NON_PEN_XG+XA,0.09,29
SHOT_CREATIONS,1.07,16
PASSES_ATTEMPTED,47.57,22
PASS_COMPLETION_PERCENTAGE,77.5,44
PROGRESSIVE_PASSES,3.87,55
PROGRESSIVE CARRIES,3.90,33
DRIBBLES_COMPLETED,0.97,66
TOUCHES_IN_AREA,1.50,53
PROGRESSIVE_PASSES_RECIEVED,1.47,22
PRESSURES,13.90,68
TACKLES,1.77,34
INTERCEPTIONS,1.57,77
BLOCKS,2.00,56
CLEARANCES,3.17,79
AERIAL_DUELS_WON,1.27,56
