Lundstram,John,Sheffield Utd
,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.06,50
TOTAL_SHOTS,0.84,47
ASSISTS,0.09,62
XA,0.05,37
NON_PEN_XG+XA,0.11,40
SHOT_CREATIONS,1.64,42
PASSES_ATTEMPTED,46.11,31
PASS_COMPLETION_PERCENTAGE,81.0,28
PROGRESSIVE_PASSES,2.61,15
PROGRESSIVE CARRIES,3.28,34
DRIBBLES_COMPLETED,0.71,41
TOUCHES_IN_AREA,1.46,69
PROGRESSIVE_PASSES_RECIEVED,2.48,70
PRESSURES,15.50,23
TACKLES,1.15,6
INTERCEPTIONS,0.93,22
BLOCKS,1.73,65
CLEARANCES,1.51,60
AERIAL_DUELS_WON,0.80,31
