Brewster,Rhian,Sheffield Utd
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.14,1
TOTAL_SHOTS,1.99,26
ASSISTS,0.00,4
XA,0.14,57
NON_PEN_XG+XA,0.27,4
SHOT_CREATIONS,1.76,28
PASSES_ATTEMPTED,17.95,17
PASS_COMPLETION_PERCENTAGE,69.3,29
PROGRESSIVE_PASSES,1.12,32
PROGRESSIVE CARRIES,1.68,21
DRIBBLES_COMPLETED,0.72,26
TOUCHES_IN_AREA,2.63,1
PROGRESSIVE_PASSES_RECIEVED,5.59,8
PRESSURES,18.99,90
TACKLES,1.12,88
INTERCEPTIONS,0.48,79
BLOCKS,1.28,93
CLEARANCES,0.24,11
AERIAL_DUELS_WON,0.96,23
