Vestergaard,Jannik,Southampton
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,89
NON_PEN_XG,0.07,86
TOTAL_SHOTS,0.73,86
ASSISTS,0.00,31
XA,0.02,73
NON_PEN_XG+XA,0.09,87
SHOT_CREATIONS,0.70,76
PASSES_ATTEMPTED,59.86,67
PASS_COMPLETION_PERCENTAGE,84.3,31
PROGRESSIVE_PASSES,2.55,48
PROGRESSIVE CARRIES,3.81,73
DRIBBLES_COMPLETED,0.42,82
TOUCHES_IN_AREA,1.57,98
PROGRESSIVE_PASSES_RECIEVED,0.14,34
PRESSURES,7.52,29
TACKLES,2.13,82
INTERCEPTIONS,1.29,48
BLOCKS,1.33,17
CLEARANCES,5.56,66
AERIAL_DUELS_WON,3.78,91
