Lo Celso,Giovani,Tottenham
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,53
NON_PEN_XG,0.20,51
TOTAL_SHOTS,1.68,32
ASSISTS,0.07,11
XA,0.19,61
NON_PEN_XG+XA,0.39,54
SHOT_CREATIONS,3.57,65
PASSES_ATTEMPTED,57.55,96
PASS_COMPLETION_PERCENTAGE,78.5,70
PROGRESSIVE_PASSES,5.87,96
PROGRESSIVE CARRIES,5.66,46
DRIBBLES_COMPLETED,1.61,47
TOUCHES_IN_AREA,2.45,14
PROGRESSIVE_PASSES_RECIEVED,4.90,21
PRESSURES,26.99,99
TACKLES,3.43,99
INTERCEPTIONS,0.84,61
BLOCKS,1.05,34
CLEARANCES,0.70,69
AERIAL_DUELS_WON,1.40,85
