Gallagher,Conor,West Brom
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,64
NON_PEN_XG,0.06,56
TOTAL_SHOTS,1.03,61
ASSISTS,0.07,53
XA,0.06,42
NON_PEN_XG+XA,0.12,45
SHOT_CREATIONS,1.46,32
PASSES_ATTEMPTED,33.92,6
PASS_COMPLETION_PERCENTAGE,77.8,14
PROGRESSIVE_PASSES,1.92,3
PROGRESSIVE CARRIES,2.88,24
DRIBBLES_COMPLETED,1.35,81
TOUCHES_IN_AREA,1.56,71
PROGRESSIVE_PASSES_RECIEVED,2.45,69
PRESSURES,25.21,96
TACKLES,2.92,81
INTERCEPTIONS,1.39,58
BLOCKS,2.24,89
CLEARANCES,1.07,30
AERIAL_DUELS_WON,0.85,34
