"b'Krovinovic, Filip'",West Brom
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.03,27
TOTAL_SHOTS,1.32,76
ASSISTS,0.00,12
XA,0.05,32
NON_PEN_XG+XA,0.08,26
SHOT_CREATIONS,2.80,86
PASSES_ATTEMPTED,60.16,73
PASS_COMPLETION_PERCENTAGE,84.4,54
PROGRESSIVE_PASSES,6.59,91
PROGRESSIVE CARRIES,7.25,92
DRIBBLES_COMPLETED,1.32,79
TOUCHES_IN_AREA,0.82,37
PROGRESSIVE_PASSES_RECIEVED,4.29,90
PRESSURES,16.98,39
TACKLES,2.64,71
INTERCEPTIONS,0.33,1
BLOCKS,0.82,2
CLEARANCES,0.99,27
AERIAL_DUELS_WON,1.32,59
