Sawyers,Romaine,West Brom
AM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.01,2
TOTAL_SHOTS,0.24,4
ASSISTS,0.00,12
XA,0.02,11
NON_PEN_XG+XA,0.03,2
SHOT_CREATIONS,0.79,4
PASSES_ATTEMPTED,43.09,25
PASS_COMPLETION_PERCENTAGE,85.0,59
PROGRESSIVE_PASSES,3.21,28
PROGRESSIVE CARRIES,2.36,15
DRIBBLES_COMPLETED,0.54,28
TOUCHES_IN_AREA,0.12,1
PROGRESSIVE_PASSES_RECIEVED,0.61,7
PRESSURES,20.09,70
TACKLES,1.88,32
INTERCEPTIONS,1.33,51
BLOCKS,1.09,10
CLEARANCES,0.91,23
AERIAL_DUELS_WON,0.79,30
