Masuaku,Arthur,West Ham
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.03,39
TOTAL_SHOTS,0.54,49
ASSISTS,0.18,86
XA,0.17,88
NON_PEN_XG+XA,0.20,79
SHOT_CREATIONS,2.86,93
PASSES_ATTEMPTED,49.38,29
PASS_COMPLETION_PERCENTAGE,80.1,66
PROGRESSIVE_PASSES,3.49,41
PROGRESSIVE CARRIES,6.89,87
DRIBBLES_COMPLETED,2.68,99
TOUCHES_IN_AREA,1.07,34
PROGRESSIVE_PASSES_RECIEVED,2.15,48
PRESSURES,12.17,45
TACKLES,1.79,38
INTERCEPTIONS,0.54,1
BLOCKS,3.13,98
CLEARANCES,1.43,11
AERIAL_DUELS_WON,0.89,28
