Lanzini,Manuel,West Ham
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,29
NON_PEN_XG,0.19,46
TOTAL_SHOTS,1.91,43
ASSISTS,0.16,40
XA,0.14,35
NON_PEN_XG+XA,0.32,31
SHOT_CREATIONS,3.18,51
PASSES_ATTEMPTED,58.52,97
PASS_COMPLETION_PERCENTAGE,88.9,99
PROGRESSIVE_PASSES,3.18,53
PROGRESSIVE CARRIES,5.09,34
DRIBBLES_COMPLETED,1.27,28
TOUCHES_IN_AREA,2.54,15
PROGRESSIVE_PASSES_RECIEVED,4.45,15
PRESSURES,17.33,69
TACKLES,0.95,24
INTERCEPTIONS,0.95,72
BLOCKS,2.39,98
CLEARANCES,0.80,76
AERIAL_DUELS_WON,0.16,3
