Fornals,Pablo,West Ham
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,39
NON_PEN_XG,0.23,62
TOTAL_SHOTS,1.75,34
ASSISTS,0.14,32
XA,0.09,10
NON_PEN_XG+XA,0.31,30
SHOT_CREATIONS,2.48,22
PASSES_ATTEMPTED,38.56,53
PASS_COMPLETION_PERCENTAGE,77.3,64
PROGRESSIVE_PASSES,3.78,73
PROGRESSIVE CARRIES,4.44,16
DRIBBLES_COMPLETED,0.73,8
TOUCHES_IN_AREA,2.59,15
PROGRESSIVE_PASSES_RECIEVED,4.09,9
PRESSURES,20.19,86
TACKLES,1.54,70
INTERCEPTIONS,1.15,88
BLOCKS,1.85,92
CLEARANCES,0.31,25
AERIAL_DUELS_WON,0.87,66
