Soucek,Tomas,West Ham
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.26,98
NON_PEN_XG,0.24,98
TOTAL_SHOTS,1.68,91
ASSISTS,0.03,24
XA,0.04,23
NON_PEN_XG+XA,0.28,90
SHOT_CREATIONS,1.18,18
PASSES_ATTEMPTED,40.51,19
PASS_COMPLETION_PERCENTAGE,76.9,12
PROGRESSIVE_PASSES,2.71,17
PROGRESSIVE CARRIES,2.21,13
DRIBBLES_COMPLETED,0.42,13
TOUCHES_IN_AREA,2.69,92
PROGRESSIVE_PASSES_RECIEVED,1.66,49
PRESSURES,15.87,27
TACKLES,2.18,49
INTERCEPTIONS,1.45,62
BLOCKS,1.47,39
CLEARANCES,3.82,99
AERIAL_DUELS_WON,6.00,99
