Soares,Cédric,Arsenal
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.03,39
TOTAL_SHOTS,0.79,75
ASSISTS,0.13,75
XA,0.13,80
NON_PEN_XG+XA,0.16,67
SHOT_CREATIONS,2.19,78
PASSES_ATTEMPTED,61.59,79
PASS_COMPLETION_PERCENTAGE,79.1,59
PROGRESSIVE_PASSES,4.57,77
PROGRESSIVE CARRIES,7.55,94
DRIBBLES_COMPLETED,0.66,39
TOUCHES_IN_AREA,1.19,39
PROGRESSIVE_PASSES_RECIEVED,2.65,63
PRESSURES,11.39,35
TACKLES,1.66,29
INTERCEPTIONS,0.73,5
BLOCKS,2.05,61
CLEARANCES,2.52,52
AERIAL_DUELS_WON,0.99,40
