Luiz,Douglas,Aston Villa
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.05,42
TOTAL_SHOTS,0.84,47
ASSISTS,0.06,52
XA,0.05,31
NON_PEN_XG+XA,0.10,34
SHOT_CREATIONS,1.49,35
PASSES_ATTEMPTED,46.31,32
PASS_COMPLETION_PERCENTAGE,84.8,57
PROGRESSIVE_PASSES,3.43,36
PROGRESSIVE CARRIES,3.59,42
DRIBBLES_COMPLETED,0.78,49
TOUCHES_IN_AREA,0.71,29
PROGRESSIVE_PASSES_RECIEVED,1.04,22
PRESSURES,19.97,68
TACKLES,2.04,43
INTERCEPTIONS,1.07,30
BLOCKS,1.94,78
CLEARANCES,1.59,64
AERIAL_DUELS_WON,1.29,58
