Nakamba,Marvelous,Aston Villa
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.24,4
ASSISTS,0.00,12
XA,0.00,1
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.48,1
PASSES_ATTEMPTED,32.80,5
PASS_COMPLETION_PERCENTAGE,85.7,63
PROGRESSIVE_PASSES,1.08,1
PROGRESSIVE CARRIES,0.72,1
DRIBBLES_COMPLETED,0.24,3
TOUCHES_IN_AREA,0.12,1
PROGRESSIVE_PASSES_RECIEVED,0.24,1
PRESSURES,24.99,96
TACKLES,2.76,77
INTERCEPTIONS,1.32,50
BLOCKS,2.52,98
CLEARANCES,2.16,86
AERIAL_DUELS_WON,0.96,41
