Welbeck,Danny,Brighton
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,49
NON_PEN_XG,0.35,47
TOTAL_SHOTS,1.92,22
ASSISTS,0.06,22
XA,0.13,55
NON_PEN_XG+XA,0.48,49
SHOT_CREATIONS,2.91,71
PASSES_ATTEMPTED,15.61,6
PASS_COMPLETION_PERCENTAGE,81.7,94
PROGRESSIVE_PASSES,1.22,39
PROGRESSIVE CARRIES,2.56,46
DRIBBLES_COMPLETED,0.99,49
TOUCHES_IN_AREA,5.48,59
PROGRESSIVE_PASSES_RECIEVED,6.12,15
PRESSURES,14.85,60
TACKLES,0.70,54
INTERCEPTIONS,0.29,43
BLOCKS,1.34,93
CLEARANCES,0.64,48
AERIAL_DUELS_WON,1.17,28
