Moder,Jakub,Brighton
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.12,95
TOTAL_SHOTS,2.66,99
ASSISTS,0.00,7
XA,0.02,3
NON_PEN_XG+XA,0.15,65
SHOT_CREATIONS,1.72,53
PASSES_ATTEMPTED,46.80,19
PASS_COMPLETION_PERCENTAGE,75.6,31
PROGRESSIVE_PASSES,3.86,55
PROGRESSIVE CARRIES,7.47,93
DRIBBLES_COMPLETED,1.20,77
TOUCHES_IN_AREA,2.75,89
PROGRESSIVE_PASSES_RECIEVED,2.66,63
PRESSURES,19.49,99
TACKLES,2.58,80
INTERCEPTIONS,1.29,55
BLOCKS,2.06,61
CLEARANCES,2.15,36
AERIAL_DUELS_WON,0.77,23
