Batshuayi,Michy,Crystal Palace
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,20
NON_PEN_XG,0.17,2
TOTAL_SHOTS,1.48,4
ASSISTS,0.12,52
XA,0.17,75
NON_PEN_XG+XA,0.35,15
SHOT_CREATIONS,2.47,61
PASSES_ATTEMPTED,20.77,31
PASS_COMPLETION_PERCENTAGE,70.2,33
PROGRESSIVE_PASSES,1.36,48
PROGRESSIVE CARRIES,2.35,40
DRIBBLES_COMPLETED,1.48,75
TOUCHES_IN_AREA,3.34,4
PROGRESSIVE_PASSES_RECIEVED,7.17,43
PRESSURES,13.48,43
TACKLES,0.37,18
INTERCEPTIONS,0.25,32
BLOCKS,1.24,93
CLEARANCES,0.62,45
AERIAL_DUELS_WON,1.36,37
