Gomes,André,Everton
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.03,23
TOTAL_SHOTS,0.80,43
ASSISTS,0.06,48
XA,0.06,43
NON_PEN_XG+XA,0.08,25
SHOT_CREATIONS,2.01,60
PASSES_ATTEMPTED,51.65,46
PASS_COMPLETION_PERCENTAGE,83.2,41
PROGRESSIVE_PASSES,4.59,63
PROGRESSIVE CARRIES,4.99,70
DRIBBLES_COMPLETED,1.49,87
TOUCHES_IN_AREA,0.92,45
PROGRESSIVE_PASSES_RECIEVED,2.12,63
PRESSURES,21.15,80
TACKLES,2.75,76
INTERCEPTIONS,0.86,18
BLOCKS,1.72,64
CLEARANCES,0.52,6
AERIAL_DUELS_WON,1.09,49
