Cooper,Liam,Leeds United
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,51
NON_PEN_XG,0.05,66
TOTAL_SHOTS,0.62,75
ASSISTS,0.00,31
XA,0.00,7
NON_PEN_XG+XA,0.05,45
SHOT_CREATIONS,0.58,60
PASSES_ATTEMPTED,64.05,78
PASS_COMPLETION_PERCENTAGE,87.7,62
PROGRESSIVE_PASSES,2.76,54
PROGRESSIVE CARRIES,2.35,41
DRIBBLES_COMPLETED,0.12,24
TOUCHES_IN_AREA,0.87,61
PROGRESSIVE_PASSES_RECIEVED,0.04,7
PRESSURES,11.99,87
TACKLES,3.13,99
INTERCEPTIONS,2.18,93
BLOCKS,1.85,70
CLEARANCES,5.07,51
AERIAL_DUELS_WON,4.24,96
