Justin,James,Leicester City
DF,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,74
NON_PEN_XG,0.06,76
TOTAL_SHOTS,0.46,41
ASSISTS,0.04,22
XA,0.06,31
NON_PEN_XG+XA,0.12,50
SHOT_CREATIONS,1.85,60
PASSES_ATTEMPTED,57.62,67
PASS_COMPLETION_PERCENTAGE,78.8,57
PROGRESSIVE_PASSES,4.13,65
PROGRESSIVE CARRIES,4.98,54
DRIBBLES_COMPLETED,0.96,65
TOUCHES_IN_AREA,1.89,70
PROGRESSIVE_PASSES_RECIEVED,3.02,73
PRESSURES,14.06,70
TACKLES,2.78,84
INTERCEPTIONS,1.10,33
BLOCKS,2.21,72
CLEARANCES,2.88,68
AERIAL_DUELS_WON,1.32,60
