Salah,Mohamed,Liverpool
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.49,96
NON_PEN_XG,0.48,97
TOTAL_SHOTS,3.29,96
ASSISTS,0.14,32
XA,0.17,49
NON_PEN_XG+XA,0.65,96
SHOT_CREATIONS,3.20,51
PASSES_ATTEMPTED,35.90,39
PASS_COMPLETION_PERCENTAGE,81.9,89
PROGRESSIVE_PASSES,3.90,75
PROGRESSIVE CARRIES,5.93,51
DRIBBLES_COMPLETED,1.49,42
TOUCHES_IN_AREA,8.87,99
PROGRESSIVE_PASSES_RECIEVED,11.93,99
PRESSURES,15.99,55
TACKLES,0.70,6
INTERCEPTIONS,0.33,5
BLOCKS,0.58,4
CLEARANCES,0.35,32
AERIAL_DUELS_WON,0.56,43
