Sterling,Raheem,Manchester City
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,77
NON_PEN_XG,0.41,94
TOTAL_SHOTS,2.36,69
ASSISTS,0.27,79
XA,0.19,63
NON_PEN_XG+XA,0.60,90
SHOT_CREATIONS,3.30,53
PASSES_ATTEMPTED,37.97,52
PASS_COMPLETION_PERCENTAGE,85.0,96
PROGRESSIVE_PASSES,2.31,24
PROGRESSIVE CARRIES,7.67,81
DRIBBLES_COMPLETED,2.44,80
TOUCHES_IN_AREA,8.43,99
PROGRESSIVE_PASSES_RECIEVED,9.50,95
PRESSURES,10.55,6
TACKLES,0.72,7
INTERCEPTIONS,0.40,9
BLOCKS,0.59,4
CLEARANCES,0.05,3
AERIAL_DUELS_WON,0.30,12
