Wilson,Callum,Newcastle Utd
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,47
NON_PEN_XG,0.35,51
TOTAL_SHOTS,1.90,21
ASSISTS,0.22,76
XA,0.10,35
NON_PEN_XG+XA,0.45,44
SHOT_CREATIONS,2.25,51
PASSES_ATTEMPTED,15.81,8
PASS_COMPLETION_PERCENTAGE,69.7,31
PROGRESSIVE_PASSES,0.86,16
PROGRESSIVE CARRIES,3.07,61
DRIBBLES_COMPLETED,1.25,66
TOUCHES_IN_AREA,4.53,31
PROGRESSIVE_PASSES_RECIEVED,6.52,29
PRESSURES,14.47,53
TACKLES,0.56,38
INTERCEPTIONS,0.13,7
BLOCKS,0.78,56
CLEARANCES,0.52,34
AERIAL_DUELS_WON,1.68,48
