Osborn,Ben,Sheffield Utd
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,58
NON_PEN_XG,0.07,60
TOTAL_SHOTS,0.51,20
ASSISTS,0.00,12
XA,0.12,81
NON_PEN_XG+XA,0.19,73
SHOT_CREATIONS,1.63,41
PASSES_ATTEMPTED,47.13,33
PASS_COMPLETION_PERCENTAGE,78.9,19
PROGRESSIVE_PASSES,3.93,49
PROGRESSIVE CARRIES,4.60,63
DRIBBLES_COMPLETED,1.01,65
TOUCHES_IN_AREA,2.30,88
PROGRESSIVE_PASSES_RECIEVED,4.88,93
PRESSURES,22.11,85
TACKLES,1.63,18
INTERCEPTIONS,0.90,19
BLOCKS,1.63,55
CLEARANCES,0.90,22
AERIAL_DUELS_WON,0.73,28
