Burke,Oliver,Sheffield Utd
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,1
NON_PEN_XG,0.17,2
TOTAL_SHOTS,1.77,14
ASSISTS,0.07,29
XA,0.13,53
NON_PEN_XG+XA,0.30,7
SHOT_CREATIONS,1.99,39
PASSES_ATTEMPTED,18.58,19
PASS_COMPLETION_PERCENTAGE,70.6,36
PROGRESSIVE_PASSES,0.78,12
PROGRESSIVE CARRIES,2.98,59
DRIBBLES_COMPLETED,1.28,67
TOUCHES_IN_AREA,4.75,34
PROGRESSIVE_PASSES_RECIEVED,7.59,50
PRESSURES,29.43,99
TACKLES,1.28,93
INTERCEPTIONS,0.14,7
BLOCKS,1.49,96
CLEARANCES,0.28,14
AERIAL_DUELS_WON,1.91,57
