Berge,Sander,Sheffield Utd
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,15
NON_PEN_XG,0.04,35
TOTAL_SHOTS,0.72,38
ASSISTS,0.08,59
XA,0.10,71
NON_PEN_XG+XA,0.14,54
SHOT_CREATIONS,1.93,55
PASSES_ATTEMPTED,37.29,14
PASS_COMPLETION_PERCENTAGE,81.9,35
PROGRESSIVE_PASSES,2.41,12
PROGRESSIVE CARRIES,5.30,77
DRIBBLES_COMPLETED,1.53,88
TOUCHES_IN_AREA,2.89,94
PROGRESSIVE_PASSES_RECIEVED,2.81,76
PRESSURES,17.44,44
TACKLES,1.69,22
INTERCEPTIONS,0.24,1
BLOCKS,1.61,53
CLEARANCES,1.53,60
AERIAL_DUELS_WON,1.29,58
