Ward-Prowse,James,Southampton
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,82
NON_PEN_XG,0.06,51
TOTAL_SHOTS,1.03,60
ASSISTS,0.18,88
XA,0.11,76
NON_PEN_XG+XA,0.17,67
SHOT_CREATIONS,2.21,69
PASSES_ATTEMPTED,68.92,87
PASS_COMPLETION_PERCENTAGE,80.8,27
PROGRESSIVE_PASSES,4.08,52
PROGRESSIVE CARRIES,3.16,30
DRIBBLES_COMPLETED,0.39,11
TOUCHES_IN_AREA,0.61,24
PROGRESSIVE_PASSES_RECIEVED,1.05,22
PRESSURES,16.58,34
TACKLES,2.21,50
INTERCEPTIONS,1.16,39
BLOCKS,1.87,74
CLEARANCES,2.00,80
AERIAL_DUELS_WON,1.29,58
