Tanganga,Japhet,Tottenham
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,21
NON_PEN_XG,0.06,71
TOTAL_SHOTS,0.36,26
ASSISTS,0.00,7
XA,0.00,1
NON_PEN_XG+XA,0.06,12
SHOT_CREATIONS,0.48,1
PASSES_ATTEMPTED,45.54,17
PASS_COMPLETION_PERCENTAGE,83.0,83
PROGRESSIVE_PASSES,2.50,11
PROGRESSIVE CARRIES,2.02,3
DRIBBLES_COMPLETED,1.55,86
TOUCHES_IN_AREA,0.48,8
PROGRESSIVE_PASSES_RECIEVED,0.36,1
PRESSURES,12.13,45
TACKLES,0.95,3
INTERCEPTIONS,0.83,11
BLOCKS,1.66,27
CLEARANCES,3.80,93
AERIAL_DUELS_WON,2.73,97
