Lamela,Érik,Tottenham
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,12
NON_PEN_XG,0.27,76
TOTAL_SHOTS,2.86,90
ASSISTS,0.17,47
XA,0.16,41
NON_PEN_XG+XA,0.43,66
SHOT_CREATIONS,3.81,74
PASSES_ATTEMPTED,47.30,80
PASS_COMPLETION_PERCENTAGE,81.0,85
PROGRESSIVE_PASSES,3.90,75
PROGRESSIVE CARRIES,9.53,94
DRIBBLES_COMPLETED,2.77,88
TOUCHES_IN_AREA,3.55,45
PROGRESSIVE_PASSES_RECIEVED,7.80,76
PRESSURES,21.57,95
TACKLES,2.69,98
INTERCEPTIONS,0.43,12
BLOCKS,1.39,70
CLEARANCES,0.09,4
AERIAL_DUELS_WON,0.43,28
