Semedo,Nélson,Wolves
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.05,69
TOTAL_SHOTS,0.65,59
ASSISTS,0.03,16
XA,0.03,8
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,1.71,52
PASSES_ATTEMPTED,56.48,61
PASS_COMPLETION_PERCENTAGE,81.9,77
PROGRESSIVE_PASSES,2.99,22
PROGRESSIVE CARRIES,6.80,84
DRIBBLES_COMPLETED,1.82,93
TOUCHES_IN_AREA,1.42,48
PROGRESSIVE_PASSES_RECIEVED,2.70,65
PRESSURES,16.67,91
TACKLES,2.50,78
INTERCEPTIONS,1.31,57
BLOCKS,1.68,28
CLEARANCES,2.70,60
AERIAL_DUELS_WON,1.22,52
